howfundId,tejId,FRId,FCId,FDId
how900,T2118J,PBI033,,
how901,T2118K,,,
how902,T2118L,,,
how903,T2118M,,,
how904,T2120A,PBI036,,
how905,T2120C,,,
how906,T2120D,,,
how907,T2120E,,,
how908,T2120F,,,
how909,T2120Y,PBI035,,
how910,T2121A,PBI038,,
how911,T2121B,,,
how912,T2121C,PBI040,,
how913,T2121D,,,
how914,T2121E,PBI042,,
how915,T2121F,,,
how916,T2121G,,,
how917,T2121H,,,
how918,T2121J,,,
how919,T2121K,,,
how920,T2121L,,,
how921,T2121M,,,
how922,T2122A,PBI044,,
how923,T2122B,,,
how924,T2122C,,,
how925,T2122D,PBI046,,
how926,T2122E,,,
how927,T2122F,,,
how928,T2122G,PBI048,,
how929,T2122H,,,
how930,T2122J,,,
how931,T2122K,,,
how932,T2122L,,,
how933,T2122M,,,
how934,T2123A,PBI050,,
how935,T2123B,,,
how936,T2123C,,,
how937,T2123D,,,
how938,T2123E,PBI052,,
how939,T2123F,,,
how940,T2123G,,,
how941,T2123H,,,
how942,T2123J,PBI054,,
how943,T2123K,,,
how944,T2123L,,,
how945,T2123M,,,
how946,T2123N,PBI056,,
how947,T2123P,,,
how948,T2123Q,,,
how949,T2123R,,,
how950,T2201A,FHI044,,
how951,T2201B,,,
how952,T2201C,,,
how953,T2202A,FHI047,,
how954,T2202Y,FHI046,,
how955,T2203Y,FHI049,,
how956,T2204Y,,,
how957,T2205Y,FHI048,,
how958,T2206Y,FHI006,,
how959,T2207Y,,,
how960,T2208Y,FHI007,,
how961,T2209Y,FHI008,,
how962,T2210Y,FHI009,,
how963,T2211Y,FHI004,,
how964,T2212Y,FHI005,,
how965,T2213A,,,
how966,T2213Y,FHI050,,
how967,T2214Y,FHI051,,
how968,T2215Y,FHI052,,
how969,T2216Y,FHI010,,
how970,T2217Y,FHI041,,
how971,T2218Y,FHI042,,
how972,T2219Y,FHI043,,
how973,T2252A,FHI002,,
how974,T2252Y,FHI001,,
how975,T2260Y,FHI003,,
how976,T2263A,,,
how977,T2263Y,FHI011,,
how978,T2265Y,FHI012,,
how979,T2269Y,FHI013,,
how980,T2270A,,,
how981,T2270Y,FHI014,,
how982,T2271Y,FHI015,,
how983,T2274Y,FHI016,,
how984,T2275A,FHI017,,
how985,T2275B,,,
how986,T2275C,,,
how987,T2275D,,,
how988,T2278Y,FHI021,,
how989,T2279Y,,,
how990,T2280A,FHI022,,
how991,T2280B,,,
how992,T2281A,FHI024,,
how993,T2281B,,,
how994,T2284Y,FHI028,,
how995,T2285A,FHI026,,
how996,T2285B,,,
how997,T2286A,,,
how998,T2286Y,FHI029,,
how999,T2287A,FHI031,,
how1000,T2287Y,FHI030,,
how1001,T2288Y,FHI032,,
how1002,T2289A,,,
how1003,T2289Y,FHI033,,
how1004,T2291A,FHI034,,
how1005,T2291B,FHI035,,
how1006,T2291C,,,
how1007,T2292A,FHI037,,
how1008,T2292B,FHI038,,
how1009,T2294A,FHI039,,
how1010,T2294B,FHI040,,
how1011,T2501Y,SIN033,,
how1012,T2502Y,SIN031,,
how1013,T2503Y,SIN003,,
how1014,T2506Y,SIN001,,
how1015,T2507Y,SIN002,,
how1016,T2520Y,SIN032,,
how1017,T2527Y,SIN030,,
how1018,T2531Y,SIN004,,
how1019,T2535A,SIN005,,
how1020,T2535B,,,
how1021,T2539A,SIN008,,
how1022,T2539Y,SIN007,,
how1023,T2540A,SIN010,,
how1024,T2540B,,,
how1025,T2540C,,,
how1026,T2540Y,SIN009,,
how1027,T2541A,SIN013,,
how1028,T2541B,,,
how1029,T2541C,SIN015,,
how1030,T2541D,,,
how1031,T2545Y,SIN017,,
how1032,T2548Y,,,
how1033,T2551A,SIN022,,
how1034,T2551B,SIN023,,
how1035,T2553A,SIN018,,
how1036,T2553B,,,
how1037,T2553C,SIN020,,
how1038,T2553D,,,
how1039,T2558A,SIN024,,
how1040,T2558B,SIN025,,
how1041,T2560A,SIN028,,
how1042,T2560B,SIN029,,
how1043,T2562A,SIN026,,
how1044,T2562B,SIN027,,
how1045,T2605Y,CTB001,,
how1046,T2612Y,CTB016,,
how1047,T2618Y,CTB014,,
how1048,T2620Y,CTB015,,
how1049,T2621A,CTB002,,
how1050,T2621B,,,
how1051,T2624A,CTB004,,
how1052,T2624B,,,
how1053,T2627A,CTB006,,
how1054,T2627B,,,
how1055,T2630A,CTB008,,
how1056,T2630B,,,
how1057,T2633A,CTB010,,
how1058,T2633B,,,
how1059,T2633C,,,
how1060,T2633D,,,
how1061,T2701Y,Man051,,
how1062,T2702Y,Man052,,
how1063,T2703Y,Man035,,
how1064,T2722Y,Man048,,
how1065,T2723A,Man050,,
